[475;413#2598
 49;301#1094
 18;208#804
 76;214#885
 266;85#1046
 153;85#741
 260;372#1736
 385;442#2378
 343;322#1823
 153;244#1110
 413;286#1944
 393;39#1376
 126;476#1775
 229;128#992
 281;280#1515
 284;312#1607
 414;275#1914
 358;448#2336
 36;276#1020
 296;335#1724
 419;172#1660
 57;24#319
 93;95#650
 335;349#1886
 400;261#1818
 433;353#2241
 415;473#2612
 436;316#2126
 258;344#1645
 299;58#1086
 21;334#1186
 96;344#1265
 444;426#2522
 39;360#1270
 21;276#1028
 360;154#1423
 150;175#941
 46;466#1648
 103;225#957
 484;174#1909
 286;189#1252
 302;176#1294
 424;416#2416
 84;80#578
 406;48#1409
 74;17#384
 26;32#207
 49;386#1370
 233;100#965
 425;27#1484
 154;105#787
 129;51#622
 234;250#1297
 475;357#2400
 9;224#856
 351;227#1555
 371;443#2361
 414;101#1492
 429;482#2681
 141;473#1805
 216;70#889
 202;261#1245
 383;172#1546
 302;252#1485
 82;375#1352
 57;386#1369
 180;306#1296
 448;300#2122
 458;472#2748
 34;258#961
 482;117#1761
 267;205#1261
 185;442#1765
 57;272#1014
 112;251#1050
 445;401#2437
 253;431#1898
 97;336#1240
 170;99#816
 442;476#2693
 125;225#990
 134;69#660
 305;346#1796
 137;492#1868
 88;348#1292
 147;6#657
 23;340#1211
 125;457#1713
 171;224#1106
 319;224#1443
 284;462#2103
 309;92#1165
 332;213#1453
 138;411#1561
 410;65#1446
 122;129#774
 284;362#1761
 183;338#1413
 499;190#1988
 279;183#1220
 39;165#692
 233;226#1232
 103;35#517
 60;81#531
 210;38#845
 296;236#1413
 170;294#1239
 452;128#1703
 29;392#1363
 137;292#1202
 496;190#1976
 482;421#2653
 189;297#1295
 490;293#2235
 315;76#1162
 168;28#714
 196;178#1037
 389;24#1359
 200;53#807
 458;463#2728
 480;281#2169
 262;50#991
 363;357#2014
 498;444#2797
 423;201#1738
 481;363#2450
 45;448#1585
 69;255#989
 313;447#2159
 457;255#2005
 163;406#1593
 491;94#1758
 402;317#1991
 47;407#1426
 390;225#1676
 312;311#1685
 262;33#977
 283;299#1555
 331;165#1358
 166;380#1521
 400;485#2599
 59;277#1025
 478;188#1915
 164;305#1277
 176;15#737
 216;74#882
 198;63#820
 332;401#2062
 232;25#892
 147;318#1293
 147;297#1221
 412;285#1944
 290;30#1062
 236;114#999
 337;67#1203
 98;371#1351
 152;164#907
 270;449#2017
 395;2#1381
 51;158#684
 391;157#1535
 424;209#1758
 386;335#1996
 1;70#349
 427;208#1771
 143;87#716
 65;402#1423
 220;245#1253
 321;260#1558
 397;203#1641
 6;377#1327
 444;40#1549
 30;124#564
 104;293#1146
 445;229#1890
 44;299#1107
 106;432#1581
 33;295#1078
 38;108#546
 465;296#2162
 190;351#1466
 166;478#1869
 44;11#238
 251;156#1121
 365;398#2154
 162;230#1131
 229;298#1417
 35;213#840
 86;39#464
 102;303#1160
 354;117#1346
 395;226#1689
 41;323#1167
 135;474#1791
 185;166#982
 108;22#536
 441;196#1793
 444;479#2713
 71;37#413
 74;358#1286
 332;362#1924
 411;277#1907
 389;192#1596
 282;62#1037
 165;72#749
 441;429#2525
 191;71#805
 27;262#988
 8;205#809
 73;403#1428
 334;403#2082
 126;305#1224
 201;291#1323
 168;487#1899
 363;190#1510
 361;110#1347
 49;392#1380
 101;442#1606
 484;392#2552
 468;420#2603
 189;467#1867
 449;463#2685
 198;162#1007
 354;375#2038
 150;374#1474
 496;414#2679
 300;460#2162
 177;57#755
 460;284#2103
 36;185#750
 448;374#2359
 313;427#2093
 8;115#549
 393;375#2167
 158;12#683
 108;225#967
 462;241#1999
 302;451#2129
 277;270#1470
 433;194#1752
 255;315#1545
 283;75#1075
 77;469#1654
 451;266#2018
 361;85#1317
 29;214#839
 268;377#1777
 9;294#1066
 401;88#1431
 158;412#1604
 104;66#591
 238;173#1122
 257;476#2095
 373;459#2424
 273;327#1625
 172;213#1069
 156;311#1283
 306;441#2102
 209;458#1908
 476;168#1867
 89;346#1279
 466;91#1671
 232;95#952
 394;172#1580
 322;283#1641
 490;295#2243
 488;40#1677
 224;484#2043
 117;410#1503
 356;35#1260
 449;389#2404
 208;103#906
 221;338#1516
 236;319#1505
 193;407#1667
 185;324#1368
 399;393#2243
 154;181#962
 426;395#2353
 310;23#1112
 129;160#860
 436;29#1530
 419;356#2184
 95;61#554
 33;9#169
 173;79#763
 196;215#1098
 424;47#1476
 134;252#1079
 260;111#1059
 59;143#683
 342;322#1832
 86;220#925
 475;32#1666
 97;476#1703
 427;490#2713
 463;34#1628
 340;268#1658
 272;99#1064
 474;439#2709
 98;95#676
 268;132#1123
 53;424#1487
 161;100#783
 62;155#728
 406;91#1457
 186;352#1460
 153;233#1090
 355;39#1258
 302;115#1162
 277;489#2202
 473;14#1648
 194;314#1361
 254;337#1617
 431;393#2359
 174;462#1818
 112;416#1527
 16;43#241
 264;174#1168
 224;176#1110
 216;77#892
 256;344#1646
 122;336#1300
 166;269#1182
 265;289#1484
 188;15#762
 313;154#1290
 46;425#1488
 285;141#1195
 61;296#1078
 471;336#2327
 62;78#516
 410;155#1595
 331;157#1357
 61;476#1685
 409;56#1435
 469;275#2109
 151;355#1417
 100;203#895
 6;320#1150
 325;100#1205
 14;148#631
 139;320#1288
 373;72#1331
 346;148#1378
 259;58#980
 176;79#782
 399;206#1664
 485;97#1737
 215;384#1651
 266;184#1191
 458;402#2494
 411;314#2012
 161;275#1178
 159;321#1320
 256;79#1006
 55;226#888
 373;119#1404
 215;367#1580
 285;403#1911
 44;361#1283
 474;153#1841
 410;463#2550
 383;346#2026
 310;156#1282
 146;418#1594
 360;135#1385
 285;269#1495
 384;426#2309
 178;351#1461
 332;498#2403
 107;66#610
 354;378#2055
 117;144#787
 175;65#757
 38;400#1407
 379;459#2432
 312;356#1848
 332;43#1188
 25;284#1052
 350;368#2004
 278;489#2209
 114;39#557
 328;465#2259
 174;64#750
 33;415#1459
 36;322#1158
 394;19#1381
 268;18#984
 162;206#1040
 160;288#1207
 359;394#2125
 151;108#801
 221;422#1795
 50;498#1747
 448;138#1711
 162;54#722
 187;298#1293
 349;309#1801
 106;295#1154
 228;45#899
 403;110#1494
 276;259#1437
 318;350#1837
 209;385#1624
 343;107#1280
 91;409#1476
 425;319#2069
 359;329#1901
 151;477#1827
 234;27#886
 411;45#1440
 131;147#824
 306;481#2239
 482;435#2714
 336;127#1295
 416;301#2002
 354;274#1707
 325;190#1375
 255;137#1082
 357;68#1273
 191;300#1312
 11;42#221
 236;268#1348
 150;489#1869
 357;401#2165
 198;216#1107
 373;246#1684
 357;330#1887
 471;347#2354
 37;174#712
 241;392#1748
 472;46#1622
 386;291#1865
 45;51#348
 145;332#1333
 366;306#1832
 270;289#1489
 20;328#1162
 369;483#2491
 210;56#842
 403;308#1977
 70;7#365
 71;423#1502
 32;371#1313
 346;44#1225
 367;24#1289
 129;63#631
 431;263#1937
 351;105#1307
 271;393#1827
 54;436#1524
 271;152#1160
 135;460#1734
 284;221#1334
 263;2#989
 182;370#1526
 278;2#1023
 91;80#606
 472;307#2211
 377;452#2397
 279;74#1059
 453;217#1882
 201;177#1052
 69;321#1175
 23;102#493
 205;224#1150
 53;18#288
 0;136#624
 22;296#1093
 218;256#1279
 279;28#1023
 370;194#1536
 451;316#2198
 77;199#859
 417;248#1846
 33;66#371
 487;498#2972
 312;237#1464
 105;351#1283
 257;265#1394
 272;226#1349
 351;124#1337
 178;326#1363
 84;193#842
 242;147#1067
 466;488#2843
 430;35#1510
 313;102#1170
 470;414#2584
 246;326#1560
 32;366#1303
 355;470#2381
 460;173#1801
 351;200#1476
 173;292#1248
 237;25#896
 381;405#2218
 101;117#700
 222;343#1536
 239;442#1926
 104;175#847
 294;59#1074
 187;75#805
 94;253#1018
 64;328#1195
 247;142#1075
 431;214#1802
 291;244#1433
 27;89#460
 443;498#2785
 488;263#2146
 69;33#384
 455;276#2056
 252;404#1807
 476;466#2813
 258;241#1343
 130;329#1298
 355;51#1272
 24;389#1345
 112;195#911
 86;218#916
 171;412#1632
 12;166#694
 464;416#2575
 382;379#2153
 407;2#1418
 326;167#1348
 455;69#1593
 53;148#681
 19;441#1534
 26;70#377
 333;268#1619
 5;461#1610
 365;255#1689
 211;136#975
 399;259#1809
 174;400#1601
 27;265#998
 146;430#1642
 194;26#791
 240;456#1984
 425;475#2640
 198;485#1952
 89;178#819
 378;470#2487
 361;23#1266
 485;144#1851
 149;306#1255
 417;269#1903
 482;468#2839
 397;486#2599
 308;417#2037
 39;359#1269
 401;459#2491
 71;264#1016
 162;269#1170
 440;439#2562
 401;350#2107
 443;26#1538
 88;38#477
 196;396#1626
 478;282#2162
 185;377#1559
 80;382#1363
 338;284#1691
 291;209#1328
 61;373#1339
 143;481#1832
 290;313#1618
 269;179#1195
 274;3#1017
 299;10#1074
 27;56#310
 289;61#1058
 136;223#1025
 356;124#1355
 394;88#1400
 495;295#2268
 490;402#2622
 103;485#1758
 171;109#832
 39;111#569
 461;267#2061
 305;354#1811
 88;385#1388
 279;304#1563
 471;152#1826
 244;52#937
 110;477#1746
 414;85#1474
 9;18#112
 56;270#1006
 36;214#846
 42;385#1367
 114;2#558
 45;101#543
 267;258#1411
 35;356#1257
 432;154#1673
 40;422#1480
 245;252#1323
 478;422#2655
 246;289#1434
 398;128#1509
 419;44#1467
 465;60#1627
 62;381#1365
 402;420#2354
 41;191#770
 108;478#1748
 96;383#1385
 344;69#1237
 51;483#1692
 105;490#1776
 398;132#1506
 154;2#677
 241;408#1795
 343;381#2033
 127;378#1425
 466;72#1637
 332;32#1179
 7;143#625
 158;217#1082
 85;237#953
 480;78#1700
 388;155#1516
 223;147#1029
 335;334#1851
 245;118#1034
 13;181#734
 202;470#1917
 17;143#623
 206;426#1772
 285;470#2141
 305;230#1424
 178;248#1188
 347;195#1464
 24;114#532
 33;342#1229
 414;118#1545
 255;247#1344
 0;389#1376
 286;235#1382
 213;240#1227
 297;175#1275
 95;434#1559
 248;203#1227
 3;301#1095
 234;236#1261
 481;419#2647
 230;178#1123
 467;125#1743
 151;222#1070
 405;440#2446
 283;244#1409
 326;0#1161
 79;492#1736
 194;253#1230
 63;377#1340
 72;432#1548
 155;274#1161
 270;455#2045
 64;414#1472
 193;265#1256
 224;315#1450
 27;377#1317
 300;300#1614
 481;493#2934
 92;353#1294
 24;227#872
 480;347#2386
 383;138#1471
 185;372#1546
 239;93#964
 39;495#1732
 452;324#2219
 123;428#1589
 449;356#2311
 280;261#1453
 201;87#856
 288;3#1059
 73;106#615
 213;326#1454
 355;198#1487
 194;402#1656
 299;415#1996
 285;492#2232
 200;474#1921
 481;287#2187
 210;316#1412
 314;134#1257
 2;173#726
 230;122#985
 496;273#2208
 402;442#2428
 124;151#820
 71;444#1573
 188;172#1002
 99;326#1208
 274;44#1020
 495;477#2900
 466;61#1630
 132;386#1462
 331;144#1310
 401;201#1658
 417;491#2700
 226;291#1395
 199;79#852
 306;130#1213
 157;401#1566
 425;454#2558
 371;476#2488
 203;94#870
 251;401#1797
 294;27#1075
 431;400#2381
 30;494#1721
 428;318#2084
 391;483#2570
 413;469#2577
 480;290#2190
 242;19#914
 341;108#1277
 79;77#566
 266;472#2114
 176;1#749
 223;109#954
 252;489#2139
 269;153#1158
 210;94#900
 378;110#1411
 105;103#721
 56;56#412
 303;202#1329
 159;475#1840
 317;420#2079
 378;390#2175
 160;217#1072
 189;261#1252
 104;14#524
 372;203#1568
 106;324#1218
 362;479#2447
 26;186#760
 357;239#1612
 498;268#2201
 379;398#2195
 165;463#1815
 334;206#1448
 337;334#1857
 16;225#856
 400;380#2194
 411;26#1441
 53;391#1382
 222;290#1381
 496;21#1729
 300;306#1633
 146;222#1052
 208;417#1746
 28;413#1435
 107;468#1707
 418;55#1470
 268;389#1814
 179;190#1018
 173;80#765
 292;310#1613
 271;254#1409
 70;62#471
 282;274#1504
 409;446#2469
 210;499#2041
 153;46#679
 130;289#1179
 329;164#1355
 91;333#1238
 48;289#1081
 368;404#2190
 397;75#1416
 221;223#1183
 141;268#1124
 99;136#721
 264;186#1194
 431;151#1664
 214;27#844
 389;232#1688
 329;310#1748
 348;409#2156
 20;311#1109
 350;405#2143
 273;299#1530
 10;388#1361
 275;346#1688
 125;298#1192
 256;497#2185
 449;139#1711
 36;224#877
 419;98#1507
 104;365#1332
 4;22#111
 476;433#2681
 412;48#1432
 67;93#595
 251;298#1466
 458;324#2231
 6;127#595
 283;223#1340
 54;31#318
 344;19#1205
 177;393#1581
 419;84#1489
 231;265#1332
 59;466#1650
 153;147#876
 231;316#1487
 324;365#1917
 332;137#1293
 394;249#1759
 439;97#1567
 166;362#1472
 31;387#1356
 222;447#1885
 380;342#2019
 182;2#763
 174;79#771
 451;283#2069
 105;358#1306
 256;171#1143
 216;388#1665
 64;280#1036
 126;404#1509
 21;294#1076
 63;450#1584
 236;184#1169
 471;90#1676
 19;353#1244
 79;340#1245
 482;135#1815
 400;489#2627
 255;293#1466
 347;5#1221
 142;4#626
 451;33#1582
 365;31#1286
 87;87#608
 244;20#909
 14;210#807
 66;39#386
 251;327#1575
 204;342#1482
 391;161#1534
 358;19#1255
 207;66#860
 288;95#1092
 468;9#1624
 415;282#1935
 188;17#760
 196;69#819
 361;244#1648
 488;305#2253
 301;126#1192
 162;63#720
 331;428#2151
 385;397#2222
 154;493#1893
 261;356#1698
 119;174#867
 54;225#885
 440;128#1669
 467;130#1758
 142;213#1023
 281;460#2093
 399;479#2575
 381;41#1343
 162;337#1380
 424;469#2611
 150;409#1571
 348;454#2321
 12;45#239
 241;356#1636
 389;186#1586
 291;49#1063
 359;364#2026
 43;446#1567
 345;378#2027
 276;394#1851
 199;491#1985
 436;109#1599
 205;313#1396
 230;22#869
 493;325#2349
 399;80#1424
 287;81#1090
 281;436#2014
 185;178#1012
 345;310#1796
 399;129#1514
 330;351#1875
 67;399#1410
 49;457#1604
 491;495#2977
 194;299#1320
 27;133#591
 301;497#2291
 136;156#857
 328;291#1688
 93;397#1434
 423;246#1844
 227;460#1960
 229;398#1720
 284;467#2122
 83;471#1682
 341;168#1397
 337;123#1281
 99;146#765
 228;370#1630
 376;63#1336
 278;223#1332
 133;387#1466
 146;38#659
 130;354#1358
 239;407#1787
 81;109#637
 424;432#2470
 151;221#1071
 136;445#1690
 343;310#1784
 238;26#896
 260;79#1018
 179;397#1609
 466;491#2853
 302;372#1858
 83;123#671
 417;187#1694
 274;487#2192
 115;156#810
 38;91#487
 404;158#1585
 302;111#1155
 428;189#1735
 456;82#1609
 141;454#1724
 460;419#2570
 130;431#1623
 298;479#2202
 30;398#1386
 17;81#409
 453;473#2729
 379;133#1446
 39;296#1081
 353;35#1249
 252;253#1348
 253;263#1378
 463;294#2141
 203;89#865
 294;178#1277
 388;171#1553
 397;220#1689
 144;460#1746
 453;295#2121
 294;37#1072
 16;363#1266
 232;86#937
 130;152#833
 8;352#1246
 388;457#2458
 367;292#1793
 151;329#1337
 224;7#871
 201;21#797
 274;67#1033
 370;120#1398
 91;107#674
 120;158#832
 363;72#1303
 415;263#1873
 11;209#819
 310;398#1974
 483;450#2777
 119;416#1534
 48;366#1307
 212;356#1546
 142;427#1627
 264;26#977
 326;314#1751
 404;386#2224
 126;375#1412
 494;31#1719
 292;466#2144
 169;57#731
 354;63#1266
 292;424#1993
 159;438#1704
 247;165#1114
 129;158#850
 283;337#1682
 120;263#1090
 267;170#1167
 384;153#1498
 429;319#2092
 447;126#1678
 415;262#1875
 255;432#1907
 152;44#669
 437;423#2501
 495;134#1852
 1;339#1202
 28;482#1674
 139;152#852
 467;308#2213
 199;242#1182
 470;369#2424
 455;47#1566
 261;112#1067
 265;102#1055
 189;181#1026
 344;84#1261
 304;96#1144
 258;314#1544
 241;45#928
 83;46#468
 221;216#1169
 208;396#1667
 437;127#1662
 327;177#1381
 468;367#2414
 349;277#1711
 410;204#1699
 99;88#655
 38;102#535
 110;79#637
 269;248#1385
 23;26#182
 374;42#1313
 26;95#481
 327;238#1510
 152;324#1317
 91;136#729
 388;371#2144
 277;377#1802
 444;434#2560
 30;209#829
 429;113#1587
 274;222#1343
 483;251#2093
 388;174#1567
 449;431#2570
 334;491#2383
 242;66#955
 26;167#695
 462;330#2265
 451;154#1744
 15;197#777
 259;289#1471
 30;420#1462
 495;94#1770
 381;23#1333
 486;245#2077
 288;311#1603
 458;334#2262
 104;256#1045
 192;173#1008
 318;285#1638
 86;342#1264
 342;143#1343
 311;300#1654
 338;29#1189
 437;69#1530
 417;308#2036
 166;378#1513
 435;178#1730
 84;102#654
 64;456#1608
 67;311#1141
 310;480#2261
 470;174#1846
 9;219#852
 199;7#807
 102;233#976
 219;171#1076
 192;247#1214
 30;72#388
 157;231#1101
 58;37#353
 388;407#2241
 325;470#2278
 419;258#1880
 27;7#144
 371;440#2344
 407;266#1859
 238;402#1767
 44;212#834
 256;204#1235
 277;309#1577
 370;286#1793
 77;437#1544
 87;426#1524
 166;414#1627
 111;481#1760
 441;264#1972
 148;122#816
 55;255#969
 210;138#983
 325;183#1374
 187;437#1758
 455;466#2733
 33;165#704
 274;369#1771
 184;126#894
 468;376#2445
 165;414#1632
 135;45#618
 79;282#1062
 390;74#1398
 37;374#1319
 465;7#1614
 295;240#1427
 278;340#1679
 110;59#583
 216;385#1651
 226;484#2052
 282;181#1226
 207;305#1375
 31;248#933
 20;182#733
 441;95#1576
 437;185#1759
 221;307#1418
 481;21#1672
 285;293#1550
 154;332#1349
 117;242#1027
 379;267#1772
 429;188#1736
 353;313#1830
 195;225#1134
 211;308#1396
 211;317#1419
 473;116#1727
 295;242#1428
 125;206#972
 189;163#987
 43;184#749
 5;190#765
 140;470#1783
 435;51#1510
 137;37#623
 351;3#1227
 388;105#1435
 40;332#1199
 391;61#1375
 343;247#1592
 175;149#933
 63;152#716
 52;306#1107
 433;261#1935
 146;107#776
 106;311#1190
 367;90#1338
 141;64#669
 359;87#1314
 249;353#1648
 471;54#1631
 191;78#818
 360;316#1865
 398;69#1411
 293;490#2245
 50;219#862
 149;136#847
 231;446#1918
 100;270#1066
 12;75#387
 131;2#607
 214;429#1805
 275;445#2019
 111;406#1480
 28;172#720
 458;349#2318
 398;24#1395
 215;70#882
 97;79#622
 218;323#1459
 213;455#1912
 150;52#679
 159;410#1601
 364;31#1283
 403;121#1518
 333;439#2206
 455;45#1568
 363;112#1359
 274;447#2026
 394;67#1390
 474;372#2459
 58;99#567
 53;313#1140
 351;116#1326
 369;229#1619
 386;51#1363
 480;113#1741
 308;407#1999
 421;71#1493
 444;462#2656
 359;480#2446
 9;249#936
 356;290#1756
 195;458#1849
 242;492#2128
 35;478#1661
 113;23#544
 332;100#1238
 429;80#1536
 128;285#1162
 106;312#1193
 158;461#1789
 60;340#1225
 136;28#605
 319;333#1780
 176;499#1960
 494;99#1766
 435;216#1824
 446;28#1565
 199;398#1641
 301;427#2047
 393;468#2514
 410;415#2359
 196;38#810
 195;110#880
 35;147#630
 224;187#1131
 411;253#1836
 13;223#854
 359;286#1765
 109;330#1248
 164;296#1243
 177;435#1724
 444;461#2654
 155;90#764
 471;339#2338
 102;431#1562
 330;84#1229
 77;148#732
 448;168#1761
 452;284#2074
 34;482#1669
 205;47#833
 91;229#956
 358;245#1638
 210;272#1301
 252;32#939
 10;44#228
 204;98#880
 363;301#1817
 428;47#1482
 240;158#1073
 231;249#1277
 292;322#1665
 125;199#952
 345;43#1226
 245;337#1581
 183;152#953
 242;154#1081
 26;84#450
 427;141#1632
 495;424#2705
 87;270#1044
 385;85#1372
 155;209#1047
 378;88#1364
 305;118#1180
 451;77#1589
 447;301#2119
 440;269#1985
 476;276#2136
 474;357#2393
 219;175#1090
 118;209#946
 164;325#1345
 109;116#724
 173;5#738
 5;484#1693
 470;54#1626
 384;13#1344
 144;390#1502
 60;414#1466
 497;482#2934
 402;493#2643
 164;234#1124
 221;278#1345
 445;382#2381
 20;88#443
 180;179#1000
 372;284#1800
 444;337#2217
 207;249#1218
 257;80#1010
 426;263#1915
 373;144#1447
 404;144#1561
 262;496#2185
 180;227#1135
 177;478#1873
 265;478#2133
 188;241#1180
 480;322#2292
 196;19#786
 186;451#1802
 476;58#1655
 456;146#1754
 153;164#913
 340;461#2303
 293;315#1635
 219;63#886
 341;490#2402
 34;51#317
 135;325#1306
 236;260#1333
 334;382#2009
 43;58#377
 259;282#1451
 27;186#762
 115;19#561
 4;219#854
 280;382#1822
 316;478#2284
 175;215#1087
 396;298#1926
 428;379#2295
 495;117#1814
 250;175#1145
 302;184#1288
 176;174#974
 345;54#1242
 195;29#789
 109;172#842
 143;403#1536
 128;67#645
 385;410#2241
 440;77#1560
 161;301#1262
 144;470#1797
 303;443#2106
 489;270#2182
 153;271#1151
 138;384#1468
 348;429#2222
 450;337#2230
 157;328#1342
 428;427#2460
 20;494#1702
 390;404#2248
 336;102#1250
 411;422#2389
 283;256#1451
 175;11#745
 278;472#2135
 349;314#1817
 61;469#1655
 493;443#2769
 373;462#2440
 386;492#2580
 199;445#1832
 149;54#675
 122;127#769
 457;426#2590
 498;172#1955
 374;255#1715
 102;373#1359
 288;362#1776
 313;141#1270
 21;152#645
 118;47#588
 177;261#1206
 218;183#1112
 74;351#1263
 371;437#2332
 392;60#1381
 357;7#1243
 474;232#1990
 401;277#1863
 313;305#1667
 144;179#936
 68;244#960
 381;383#2163
 487;395#2583
 127;136#790
 291;447#2074
 251;351#1644
 187;410#1660
 366;121#1378
 271;483#2162
 23;458#1587
 78;395#1401
 86;243#979
 87;447#1589
 494;355#2471
 109;335#1258
 404;402#2306
 150;54#678
 90;354#1303
 306;391#1932
 184;82#799
 430;314#2109
 80;387#1379
 82;94#642
 89;478#1708
 103;111#702
 245;369#1695
 223;472#2003
 97;129#707
 57;321#1166
 394;241#1737
 307;390#1938
 413;179#1650
 233;176#1128
 186;496#1961
 377;147#1459
 216;469#1961
 221;63#892
 447;405#2465
 112;238#1003
 426;245#1851
 294;428#2021
 181;48#767
 213;39#855
 240;56#929
 63;122#638
 75;334#1227
 5;254#947
 160;378#1506
 445;308#2151
 194;317#1371
 36;385#1363
 419;119#1562
 443;366#2314
 197;289#1301
 479;171#1881
 373;192#1542
 363;226#1595
 249;212#1255
 223;293#1395
 253;238#1325
 122;29#561
 1;494#1730
 455;21#1587
 281;104#1101
 6;267#983
 218;263#1296
 439;292#2068
 117;429#1585
 167;279#1200
 344;343#1909
 35;299#1092
 168;389#1546
 158;14#682
 459;98#1639
 308;129#1221
 36;215#849
 258;385#1779
 183;127#904
 216;464#1943
 168;283#1217
 477;474#2840
 239;385#1719
 24;304#1109
 348;473#2376
 342;433#2216
 27;209#828
 386;128#1461
 251;170#1119
 359;413#2209
 406;423#2369
 479;406#2582
 159;156#902
 368;282#1772
 86;281#1081
 365;291#1783
 54;394#1390
 479;105#1730
 229;141#1023
 70;117#639
 441;121#1646
 365;134#1400
 46;378#1344
 52;203#831
 158;292#1221
 479;472#2844
 259;460#2038
 65;305#1123
 168;48#717
 229;16#877
 121;50#599
 76;109#630
 138;420#1591
 220;370#1610
 412;55#1447
 103;376#1368
 57;190#785
 376;290#1832
 58;130#637
 464;331#2274
 188;361#1502
 78;256#1000
 288;351#1744
 458;54#1593
 3;125#592
 42;402#1416
 308;473#2232
 58;66#452
 388;402#2239
 326;135#1275
 180;264#1219
 408;37#1436
 302;416#2004
 477;59#1659
 323;69#1166
 448;122#1665
 402;60#1422
 410;432#2421
 277;292#1521
 316;470#2244
 14;484#1672
 262;170#1153
 442;364#2304
 417;62#1460
 316;80#1179
 434;214#1812
 291;64#1069
 224;339#1531
 334;250#1571
 271;226#1344
 108;76#628
 102;271#1073
 329;88#1225
 283;253#1452
 489;219#2017
 372;83#1341
 65;156#731
 270;495#2195
 60;378#1353
 393;118#1476
 135;85#706
 456;42#1578
 217;21#833
 259;429#1921
 345;257#1626
 429;14#1485
 238;321#1519
 334;357#1906
 107;463#1687
 365;165#1459
 34;241#915
 20;243#922
 317;431#2115
 221;350#1547
 416;235#1799
 176;371#1510
 197;116#901
 189;491#1957
 278;227#1345
 42;434#1528
 280;324#1628
 332;457#2260
 380;27#1330
 374;313#1883
 102;387#1416
 110;90#671
 234;96#956
 242;279#1397
 203;487#1980
 429;10#1481
 423;137#1606
 258;206#1248
 25;215#836
 302;436#2077
 65;108#607
 287;204#1300
 467;229#1966
 70;423#1507
 225;40#882
 0;25#144
 368;228#1613
 485;490#2949
 323;354#1866
 223;277#1345
 424;84#1507
 404;228#1732
 156;240#1120
 174;284#1235
 44;191#774
 241;210#1229
 13;480#1669
 141;374#1459
 399;73#1419
 114;223#964
 102;286#1124
 263;122#1093
 166;259#1170
 223;65#902
 433;145#1667
 372;334#1956
 432;130#1638
 34;256#954
 202;152#993
 194;24#779
 347;488#2419
 275;427#1956
 65;440#1570
 244;28#917
 69;171#766
 378;335#1981
 262;286#1469
 394;331#2006
 17;105#512
 314;379#1927
 366;354#2005
 140;453#1721
 231;160#1082
 345;119#1311
 242;92#970
 158;312#1291
 382;296#1864
 131;454#1700
 236;195#1188
 283;295#1548
 165;233#1123
 328;3#1167
 182;133#914
 161;150#908
 137;18#610
 454;405#2497
 443;434#2552
